city_id,city_name,latitude,longitude,date,temp,humidity,cloudiness,wind
2036069,Linjiang,41.81,126.91,08/11/20,64.81,87.0,0.0,2.37
1651103,Atambua,-9.11,124.89,08/11/20,69.93,85.0,7.0,4.21
1651810,Airai,-8.93,125.41,08/11/20,57.63,94.0,4.0,1.25
3985710,Cabo San Lucas,22.89,-109.91,08/11/20,87.44,70.0,20.0,16.11
2110227,Butaritari,3.07,172.79,08/11/20,81.57,78.0,20.0,12.8
161218,Bariadi,-2.8,33.98,08/11/20,73.99,50.0,15.0,8.43
2980080,Saint-François,46.42,3.91,08/11/20,97.36,25.0,30.0,4.7
1267390,Kavaratti,10.57,72.64,08/11/20,82.06,76.0,79.0,16.51
2992292,Montluçon,46.33,2.6,08/11/20,93.0,38.0,53.0,5.32
3125287,Cervo,43.67,-7.41,08/11/20,68.02,91.0,93.0,5.7
5545269,Price,39.6,-110.81,08/11/20,82.4,12.0,1.0,3.36
2138555,Poum,-20.23,164.02,08/11/20,70.32,71.0,0.0,14.36
1214026,Sabang,5.89,95.32,08/11/20,83.7,79.0,86.0,17.87
4560349,Philadelphia,39.95,-75.16,08/11/20,88.48,62.0,75.0,10.29
2067119,Mandurah,-32.55,115.7,08/11/20,57.0,74.0,85.0,15.46
3921141,Charagua,-19.8,-63.22,08/11/20,71.44,37.0,89.0,10.45
4031574,Provideniya,64.38,-173.3,08/11/20,49.48,85.0,99.0,6.24
1737185,Kapit,2.02,112.93,08/11/20,75.87,93.0,97.0,1.7
3988086,Saltillo,25.42,-101.0,08/11/20,74.03,36.0,5.0,5.82
4500920,Brigantine,39.41,-74.36,08/11/20,81.36,62.0,20.0,11.41
415189,Aden,12.78,45.04,08/11/20,89.44,62.0,25.0,8.28
110690,Faya,18.39,42.45,08/11/20,73.4,78.0,40.0,4.0
2127202,Anadyr,64.75,177.48,08/11/20,51.35,93.0,49.0,8.95
1494482,Polunochnoye,60.87,60.42,08/11/20,56.43,65.0,72.0,5.84
1040938,Manjacaze,-24.71,33.88,08/11/20,64.36,62.0,0.0,7.38
2638664,Salisbury,51.07,-1.8,08/11/20,89.56,38.0,15.0,9.17
8079926,Labuhan,-6.88,112.21,08/11/20,77.49,86.0,67.0,9.86
2177233,Bairnsdale,-37.83,147.62,08/11/20,48.99,81.0,100.0,4.27
2455216,Kita,13.03,-9.49,08/11/20,81.95,77.0,100.0,6.4
3448903,São João da Barra,-21.64,-41.05,08/11/20,82.4,48.0,0.0,13.87
2126710,Beringovskiy,63.05,179.32,08/11/20,48.43,84.0,50.0,8.25
3445026,Vila Velha,-20.33,-40.29,08/11/20,79.86,61.0,20.0,13.87
2618795,Klaksvík,62.23,-6.59,08/11/20,55.4,87.0,60.0,13.87
1506260,Gornyak,50.99,81.47,08/11/20,70.38,54.0,79.0,18.45
556268,Ostrovnoy,68.05,39.51,08/11/20,50.27,89.0,90.0,9.48
2021980,Klyuchevskiy,53.53,119.45,08/11/20,52.52,87.0,53.0,3.24
1159362,Torbat-e Jām,35.24,60.62,08/11/20,78.96,21.0,0.0,11.92
2450173,Taoudenni,22.68,-3.98,08/11/20,113.07,9.0,5.0,12.46
2194098,Ahipara,-35.17,173.17,08/11/20,56.8,90.0,98.0,27.29
1591474,Bac Lieu,9.29,105.72,08/11/20,81.37,85.0,63.0,8.9
4845585,Westport,41.14,-73.36,08/11/20,86.95,62.0,1.0,11.41
2669047,Timrå,62.49,17.33,08/11/20,63.68,67.0,78.0,10.29
1516589,Zhezkazgan,47.8,67.71,08/11/20,62.6,63.0,39.0,11.18
1637001,Luwuk,-0.95,122.79,08/11/20,77.9,77.0,70.0,3.6
72181,Marzuq,14.4,46.47,08/11/20,92.34,21.0,88.0,11.18
5855051,‘Ewa Beach,21.32,-158.01,08/11/20,74.07,73.0,1.0,3.36
478996,Uni,57.75,51.49,08/11/20,53.92,78.0,48.0,5.14
4013679,Coahuayana Viejo,18.73,-103.68,08/11/20,86.0,70.0,40.0,3.31
471501,Vostochnyy,55.82,37.87,08/11/20,59.59,76.0,75.0,11.18
2778455,Gloggnitz,47.67,15.94,08/11/20,68.61,85.0,99.0,1.99
2180815,Tuatapere,-46.13,167.68,08/11/20,43.0,95.0,89.0,7.72
1784841,Zhaotong,27.32,103.72,08/11/20,65.82,90.0,100.0,2.86
2173911,Broken Hill,-31.95,141.43,08/11/20,51.8,87.0,75.0,10.29
3904906,Santa Cruz de la Sierra,-17.8,-63.17,08/11/20,74.3,73.0,75.0,4.7
3354077,Opuwo,-18.06,13.84,08/11/20,70.5,23.0,1.0,6.82
483019,Tikhvin,59.65,33.53,08/11/20,54.97,91.0,100.0,9.37
3864331,Bell Ville,-32.63,-62.69,08/11/20,57.06,18.0,19.0,1.99
3931137,Putina,-15.47,-69.43,08/11/20,49.87,47.0,15.0,7.09
536156,Leninsk,48.71,45.2,08/11/20,73.4,35.0,17.0,6.71
1052944,Angoche,-16.23,39.91,08/11/20,72.25,76.0,4.0,10.02
3622716,Nicoya,10.15,-85.45,08/11/20,86.0,70.0,40.0,3.36
5563839,Fortuna,40.6,-124.16,08/11/20,56.25,90.0,0.0,1.01
2189343,Kaeo,-35.1,173.78,08/11/20,55.0,3.0,95.0,13.0
2255542,Owando,-0.48,15.9,08/11/20,84.07,52.0,76.0,2.19
